Year,Month(s),Day(s),Duration (hrs),Type,Min Vis (m),Min Wc (°C),Max Gust (km/h),Dom WDir,Event Snow (cm)
1996,Dec,17-18,23,N/A,200,-37,N/A,N,7.2
1998,Mar,13,7,N/A,0,-27,82,NNW,6.0
1999,Feb,12,9,N/A,0,-28,N/A,NNW,3.0
1999,Dec,19-20,13,N/A,200,-44,N/A,NNW,8.5
2000,Dec,16,14,N/A,200,-40,N/A,NNW,3.5
2000,Dec,20-21,11,N/A,200,-43,N/A,NNW,3.5
2001,Feb,25,4,N/A,300,-27,N/A,NNW,2.5
2001,Oct,24,6,N/A,300,-11,69,N,20.0
2003,Feb,11,4,N/A,200,-38,76,NNW,3.0
2004,Jan,2-3,12,N/A,200,-35,76,NNW,8.5
2004,JAn,21,4,N/A,200,-43,N/A,NNW,1.5
2004,Mar,11,7,N/A,200,-37,N/A,NNW,0.5
2004,Dec,12,4,N/A,200,-22,93,NW,1.0
