Year,Month(s),Day(s),Duration (hrs),Type,Min Vis (m),Min Wc (°C),Max Gust (km/h),Dom WDir,Event Snow (cm)
1953,Apr,16,4,Blizzard,0,N/A,N/A,WNW,16.5
1955,Feb,20-21,12,Blizzard,0,-32,89,NNW,10.7
1955,Dec,12,7,Blizzard,0,-19,113,SSE,4.8
1956,Dec,11,7,Blizzard,0,-39,92,NNW,11.4
1958,Apr,28,8,Blizzard,0,-24,100,NNW,10.9
1958,Nov,18,11,Blizzard,0,-14,89,NNW,7.2
1960,Dec,5,8,Blizzard,0,-25,89,NNW,12.0
1961,Apr,26,4,Blizzard,200,-11,77,WNW,22.9
1963,Jan,19-20,6,Blizzard,200,-47,77,NNW,3.6
1964,Feb,22,9,Blizzard,0,-40,97,NNW,5.8
1964,Mar,23-24,16,Blizzard,0,-33,85,NNW,25.2
1964,Dec,16,4,Blizzard,200,-40,74,NNW,14.5
1966,Mar,4,20,Blizzard,0,-26,97,NNW,13.2
1969,Jan,8,7,Ground,200,-40,68,NNW,6.4
1970,Feb,1,5,Blizzard,200,-37,79,NNW,2.8
1971,Apr,1,9,Blizzard,0,-21,63,NNW,14.9
1973,Dec,9,7,Blizzard,0,-25,97,NNW,11.7
1975,Jan,11,20,Blizzard,0,-41,100,NW,21.2
1975,Jan,20-21,6,Blizzard,0,-43,74,NNW,3.0
1976,Mar,20,8,Blizzard,0,-26,93,NNW,17.3
1977,Jan,27,6,Ground,200,-48,69,NNW,1.4
1977,Feb,24,4,Blizzard,200,-17,81,N,16.7
1977,Nov,20,12,Blizzard,0,-28,96,NNW,14.0
1977,Dec,8,4,Blizzard,200,-46,67,NNW,4.6
1978,Jan,24-25,13,Blizzard,0,-36,87,NNW,10.1
1979,Mar,13,5,Blizzard,200,-28,59,NNW,7.6
1980,Jan,6,4,Blizzard,200,-35,72,NNW,22.7
1980,Jan,11,5,Ground,200,-36,70,NW,28.2
1984,Dec,16,8,Blizzard,200,-34,81,NW,14.6
1986,Nov,8,11,Blizzard,0,-22,96,N,35.0
1988,Jan,24,6,Blizzard,200,-36,81,NNW,10.8
1988,Mar,25,4,Blizzard,400,-20,93,NNW,9.4
1989,Jan,7-8,17,Blizzard,200,-41,76,N,38.7
1990,Mar,16,4,Blizzard,200,-15,78,NW,21.9
1990,Dec,20,5,Ground,200,-48,61,NNW,7.0
1996,Dec,17,4,Blizzard,200,-31,N/A,NNW,7-10
1997,Apr,5-6,N/A,Likely Blizzard,N/A,N/A,N/A,N/A,40-42
2022,Feb,1,5+,Blizzard,200,-30,72,NW,3.2
