Year,Month(s),Day(s),Duration (hrs),Type,Min Vis (m),Min Wc (°C),Max Gust (km/h),Dom WDir,Event Snow (cm)
1954,Jan,26,5,Ground,200,-44,,SE,
1955,Mar,2,4,Blizzard,400,-31,,ESE,
1955,Dec,12-14,36,Blizzard,0,-40,,WNW,
1956,Jan,23,5,Blizzard,200,-27,,SE,
1956,Feb,21,,,,,,,
1956,Dec,10-11,,,,,,,
1958,Nov,25,,,,,,,
1959,Jan,1,,,,,,,
1959,Jan,2,,,,,,,
1959,Jan,6,,,,,,,
1959,Feb,15,,,,,,,
1960,Mar,10,,,,,,,
1960,Dec,14,,,,,,,
1961,Oct,22,,,,,,,
1962,Jan,8,,,,,,,
1963,Jan,19,,,,,,,
1963,Dec,12,,,,,,,
1964,Dec,16,,,,,,,
1964,Dec,27,,,,,,,
1965,Feb,6,,,,,,,
1965,Feb,20,,,,,,,
1965,Feb,28,,,,,,,
1966,Jan,9,,,,,,,
1966,Jan,11,,,,,,,
1968,Jan,8,,,,,,,
1968,Jan,19,,,,,,,
1969,Jan,11,,,,,,,
1969,Feb,9-10,,,,,,,
1970,Feb,3,,,,,,,
1970,Dec,4,,,,,,,
1972,Jan,20-21,,,,,,,
1972,Feb,16,,,,,,,
1972,Feb,16-17,,,,,,,
1973,Jan,2,,,,,,,
1973,Jan,3,,,,,,,
1973,Dec,8,,,,,,,
1973,Dec,16,,,,,,,
1974,Feb,8,,,,,,,
1974,Feb,14,,,,,,,
1975,Jan,11,,,,,,,
1976,Jan,23,,,,,,,
1976,Dec,29,,,,,,,
1976,Dec,30,,,,,,,
1978,Feb,5,,,,,,,
1978,Feb,6-7,,,,,,,
