Year,Month(s),Day(s),Duration (hrs),Type,Min Vis (m),Min Wc (°C),Max Gust (km/h),Dom WDir,Event Snow (cm)
1955,Feb,20,9,Blizzard,0,-34,87,N,23.6
1958,Apr,28,6,Blizzard,200,-27,87,NNW,8.1
1960,Dec,5,4,Blizzard,400,-24,84,N,11.4
1962,Jan,6,4,Blizzard,400,-26,80,SSE,2.8
1964,Feb,22,8,Blizzard,0,-35,76,N,1.3
1964,Mar,23-24,12,Blizzard,0,-30,93,N,36.1
1964,Apr,13,4,Blizzard,200,-10,103,N,21.3
1966,Mar,4,19,Blizzard,0,-24,113,N,35.6
1972,Jan,15-16,8,Blizzard,400,-43,76,SSE,1.3
1975,Jan,11,18,Blizzard,0,-42,93,NW,22.4
1976,Mar,20,8,Ground,0,-24,76,N,0.8
1977,Nov,20,12,Blizzard,0,-24,85,N,18.0
1978,Jan,25,12,Blizzard,0,-35,80,NNE,3.0
1979,Mar,13,5,Blizzard,0,-21,78,NE,9.0
1984,Feb,4,4,Ground,0,-35,80,N,1.4
1985,Jan,13,4,Blizzard,200,-26,83,NNW,5.0
1985,Jan,24,5,Ground,0,-35,72,N,2.0
1986,Nov,8,13,Blizzard,0,-24,91,NNE,35.2
1989,Jan,7-8,16,Blizzard,0,-38,72,NNE,29.8
1992,Dec,24-25,6,Blizzard,400,-35,82,NW,3.8
1995,Dec,8,8,Blizzard,0,-41,65,NNW,5.4
1996,Nov,17,12,Blizzard,0,-22,72,NNW,24.0
1997,Jan,21-22,7,Blizzard,0,-33,81,NNE,3.0
1997,Apr,5,4,Blizzard,400,-19,83,NNE,48.0
1997,Apr,5-6,23,Blizzard,0,-29,83,N,48.0
2008,Feb,9,4,Ground,400,-44,69,NW,2.0
2013,Jan,11,4,Blizzard,400,-28,74,N,13.0
2017,Jan,12,4,Ground,200,-40,85,NW,Trace
2022,Feb,1,9,Blizzard,0,-31,77,NW,2.0
2025,Dec,18,6,Blizzard,200,-34,89,N,10.2
